# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr  3 16:15:30 2023
#
# User preference: *
#
# CONSTRAINT:  where (rv_flag = 1
# CONSTRAINT:  and pl_orbper not null)
#
# COLUMN rv_flag:        Detected by Radial Velocity Variations
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
#
rv_flag,pl_orbper,pl_rade,pl_bmasse
1,326.03000000,,6165.60000
1,516.22000000,,3337.07000
1,516.21997000,,4684.81420
1,185.84000000,,1525.50000
1,1796.40000000,,1506.45000
1,1766.41000000,,1541.46777
1,1766.00000000,,1581.13800
1,1773.40002000,,1481.08780
1,1765.03890112,,2586.74645
1,1724.00000000,,1554.12000
1,1773.40000000,,1474.67000
1,798.50000000,,565.73740
1,799.45000000,,556.83537
1,798.50000000,,533.95440
1,800.80000000,,476.70000
1,799.50000000,,533.93000
1,799.50000000,,533.93000
1,578.38000000,,1373.01872
1,993.30000000,,3273.50000
1,30.35060000,,289.22530
1,452.80000000,,632.46000
1,883.00000000,,273.32000
1,335.10000000,,3140.03000
1,345.40000000,,2097.67800
1,335.10001000,,4392.41060
1,269.30000000,,2256.50000
1,479.10000000,,1233.13000
1,1076.60000000,,778.68350
1,1078.00000000,,804.08000
1,1100.80000000,,877.17000
1,1083.20000000,,826.32000
1,1076.60000000,,774.86566
1,2391.00000000,,171.62100
1,7586.00000000,,425.87000
1,2287.00000000,,157.96072
1,14002.00000000,,521.22000
1,19000.00000000,,479.92089
1,4.23079690,,147.47238
1,4.22930000,,149.38010
1,4.23078500,,150.00900
1,4.23100000,,146.20180
1,4.23077000,,148.73800
1,14.65160000,,255.40000
1,14.65152000,,263.97850
1,14.65126000,,260.61000
1,14.67000000,,249.17872
1,14.65100000,,254.25000
1,14.64800000,,266.97720
1,14.65300000,,266.97720
1,14.65171000,,267.29369
1,14.60000000,,254.25000
1,14.64700000,,289.21000
1,14.65162000,,261.88100
1,14.46531400,,266.96600
1,43.93000000,,68.96911
1,44.37870000,,52.44000
1,44.38270000,,54.34866
1,44.41750000,,54.47380
1,44.39890000,,51.20000
1,44.34460000,,53.71100
1,44.38000000,,52.44000
1,44.37300000,,56.69850
1,5370.00000000,,1220.42000
1,5218.00000000,,1218.82700
1,4909.00000000,,1121.89000
1,4545.00000000,,918.49000
1,4825.00000000,,1232.49300
1,4820.00000000,,908.98924
1,4867.00000000,,1226.77000
1,5574.20000000,,991.60000
1,4517.40000000,,1243.35096
1,5360.00000000,,1287.21150
1,0.73700000,1.897,7.74000
1,0.73654582,1.915,
1,0.73655150,,8.13928
1,0.73654780,,8.09479
1,0.73653900,1.910,8.08000
1,0.73654600,2.173,8.37000
1,2.80800000,,14.30235
1,0.73654740,1.875,7.99000
1,2.79674000,,7.46870
1,0.73654170,,
1,0.73654450,,9.37594
1,0.73654370,2.080,7.81000
1,0.73654000,2.000,8.63000
1,260.98000000,,46.87969
1,261.20000000,,54.66400
1,260.91000000,,47.00510
1,259.88000000,,47.80000
1,262.00000000,,44.81200
1,260.00000000,,45.76600
1,260.70000000,,44.81200
1,934.30000000,,638.83830
1,874.77400000,,702.40430
1,899.00000000,,762.80000
1,4.21487000,,5.11704
1,4.21500000,,5.10000
1,38.02100000,,18.20000
1,38.09570000,,16.11390
1,123.01000000,,22.90000
1,763.00000000,,826.30000
1,735.10000000,,587.98550
1,796.00000000,,781.86180
1,996.00000000,,276.51210
1,116.68840000,,2380.45000
1,116.68900000,,2084.88000
1,116.69260000,,2351.94200
1,116.69335000,,2297.89938
1,116.68840000,,2421.86460
1,116.68800000,,2357.02728
1,691.90000000,,953.49000
1,93.40000000,,416.35730
1,93.40000000,,476.74500
1,952.70000000,,1684.40000
1,181.40000000,,1017.00000
1,8.46300000,,11.70000
1,8.46300000,4.070,17.00000
1,8.46300040,4.190,
1,8.46299910,,20.12000
1,8.46321000,4.203,57.20940
1,8.46321000,,17.10000
1,18.85899100,,9.60000
1,18.85901900,3.240,13.60000
1,18.85898200,2.790,
1,18.85901900,,22.20000
1,481.90000000,,2034.11200
1,268.94000000,,330.54320
1,268.94000000,,467.19000
1,153.22000000,,337.21763
1,137.48000000,,352.78000
1,379.63000000,,17668.16970
1,379.63000000,,6807.63000
1,621.99000000,,3963.17000
1,578.20000000,,1334.88600
1,41.68864400,2.355,
1,41.68550000,2.230,16.30000
1,41.68550000,2.578,22.24810
1,307.88000000,,432.24663
1,392.60000000,,289.22530
1,733.00000000,,540.31100
1,2590.00000000,,508.50000
1,265.59000000,,228.83645
1,1198.48000000,,1258.60049
1,723.20000000,,7961.60160
1,3.87280000,,8.50000
1,125.94000000,,53.00000
1,5.60000000,,14.40000
1,5.60000000,,12.71320
1,237.60000000,,104.00000
1,3.48700000,,152.55000
1,3.48777000,,187.51970
1,3.48790500,,142.70495
1,3.48777000,,145.56000
1,1667.00000000,,168.44000
1,1634.00000000,,206.58950
1,74.20000000,,15.37000
1,714.30000000,,3368.99800
1,714.29999000,,3108.37740
1,655.60000000,,1620.90000
1,655.59998000,,905.81550
1,2.29070000,,3.95000
1,8.98910000,,3686.82800
1,1.50895570,16.700,327.35000
1,1.50897655,15.917,340.07810
1,1.50896860,17.385,327.36490
1,1.50896820,19.223,390.93090
1,1.50895570,16.589,359.14790
1,1.50896877,,
1,1.50896350,20.594,
1,13.24060000,10.548,883.56740
1,13.24060000,10.873,867.67590
1,13.24060000,10.870,874.00000
1,2.99433000,15.984,743.72220
1,2.99432500,15.581,791.39670
1,2.99432500,16.029,832.71460
1,2.99433000,16.030,740.51000
1,2.82804200,16.140,291.43800
1,2.82804100,,
1,2.82804200,16.141,290.81445
1,2.82803915,17.760,
1,2.82804200,15.132,281.91521
1,2.82805268,15.065,277.46559
1,4.03519000,9.920,415.70400
1,4.03515000,,
1,4.03504444,12.533,
1,4.03519000,14.034,416.99296
1,4.03519000,9.920,423.03173
1,1.51214000,12.220,2415.40000
1,1.51214000,11.411,2437.75610
1,1.51214000,12.218,2358.29860
1,5.35227000,13.110,170.03200
1,5.35227000,13.115,168.13207
1,3.76810000,11.433,765.97030
1,3.76810000,11.287,781.86180
1,3.76810000,11.430,772.29000
1,1.90008625,15.050,
1,1.90006930,14.684,1099.69180
1,1.90006930,14.680,1102.82000
1,1.90009000,12.846,1048.83900
1,1.90006930,14.022,1039.30410
1,1.90007690,,
1,3.89712026,13.493,
1,3.89713000,14.460,352.78000
1,3.89713000,13.339,346.43470
1,3.89713000,14.460,367.09365
1,3.89713100,,
1,1.74299350,16.432,1102.82000
1,1.74299750,15.850,1052.01730
1,1.74301433,16.923,
1,1.74299609,16.533,
1,1.74299350,16.365,1134.65310
1,1.74299673,,
1,1.74299640,16.421,1051.97300
1,1.74299906,,
1,1.74299700,,
1,1.74299350,16.477,1150.54460
1,1.74299673,16.432,1048.83900
1,9.24285000,9.416,1344.42090
1,9.24323029,15.397,
1,9.24285000,,1366.66900
1,9.24318000,11.209,1315.81620
1,9.24285000,13.002,1608.21980
1,9.24285000,9.420,1347.54000
1,1675.00000000,,5403.11000
1,2.72474000,14.572,705.58260
1,2.72474000,14.572,718.29580
1,9.75598000,4.880,12.20000
1,3.63130000,11.770,889.90000
1,3.63130000,13.227,972.55980
1,3.63130000,11.769,982.09470
1,5.11340000,3.700,5.70000
1,11.75900000,5.000,28.00000
1,4.86069000,12.110,85.81000
1,4.86069000,12.106,93.12419
1,4.20474000,14.123,184.34140
1,4.20474000,14.120,165.26000
1,3.57532000,11.287,3302.11000
1,3.57532000,11.287,3273.64900
1,5.20851000,10.705,153.82972
1,5.20851000,10.705,152.87623
1,2.85057000,10.088,266.97720
1,2.85057000,10.088,270.15550
1,2.85056150,,
1,4.25679940,11.321,6814.27520
1,4.25679940,11.624,6979.54680
1,4.25679940,11.135,6747.53090
1,4.25680000,11.320,6883.91000
1,9.06005000,11.310,921.70700
1,4.62941000,16.365,266.97720
1,3.22748000,18.831,349.61125
1,5.61653100,15.805,216.12332
1,9.20205000,13.339,223.43449
1,9.20205000,13.002,232.33373
1,9.20205000,13.340,228.83000
1,9.20164964,13.437,
1,4.03791560,,
1,4.03789620,15.558,148.42000
1,4.03789620,13.249,149.38010
1,4.03789620,15.558,151.92274
1,4.03791560,14.079,145.88397
1,4.03790124,18.383,
1,8.88662870,,
1,8.88659300,13.068,940.74000
1,8.88659300,13.070,937.59850
1,8.88659300,13.283,940.77680
1,0.85359163,1.681,4.07661
1,0.85400000,1.580,4.60000
1,0.85358500,1.861,6.99226
1,0.85359159,1.585,5.74000
1,0.85358500,,4.80000
1,0.85359165,,4.73000
1,0.85358500,1.680,21.00000
1,0.85350000,1.528,6.05600
1,3.69700000,,13.28900
1,3.69800000,,8.40000
1,3.70000000,,13.56000
1,8.96600000,,17.14200
1,6.21244500,6.938,69.28694
1,6.21229000,6.390,69.92000
1,6.21229000,7.981,68.65128
1,6.21238100,6.389,69.28694
1,95.27380000,11.770,266.97000
1,95.27272500,,
1,95.27265600,11.949,268.88418
1,95.27265600,11.949,266.97720
1,95.27380000,11.624,262.52758
1,6.71836780,,
1,6.71837000,6.389,47.67450
1,18.57000000,,24.27000
1,6.58400000,,9.60000
1,2.88200000,,3.35000
1,5.51600000,,4.13000
1,5.20720000,,138.89171
1,6.67320000,,2.58000
1,6.67360000,,2.58000
1,19.50735025,,
1,19.49179500,5.847,
1,19.49213000,6.120,27.00000
1,19.49221000,5.760,
1,19.49100000,,
1,19.49183000,5.960,
1,19.49213200,6.000,
1,19.49214730,5.507,
1,19.49196500,6.800,
